timestamp_envio,timestamp_respuesta,exito,replica,tarjeta,latency_ms
1788884323.228,1788884323.442,1,A,6991,213.51
1788884323.228,1788884323.521,1,C,6991,242.58
1788884323.228,1788884323.521,1,C,6991,241.75
1788884323.228,1788884323.522,1,B,6991,240.71
1788884323.228,1788884323.532,1,B,6991,249.68
1788884323.228,1788884323.527,1,B,6991,242.46
1788884323.228,1788884323.527,1,B,6991,241.15
1788884323.228,1788884323.532,1,C,6991,244.52
1788884323.228,1788884323.533,1,A,6991,243.81
1788884323.228,1788884323.533,1,B,6991,242.89
1788884323.228,1788884323.534,1,A,6991,242.09
1788884323.228,1788884323.534,1,C,6991,241.29
1788884323.228,1788884323.530,1,C,6991,235.86
1788884323.228,1788884323.531,1,C,6991,234.99
1788884323.228,1788884323.529,1,A,6991,231.87
1788884323.228,1788884323.530,1,B,6991,230.78
1788884323.228,1788884323.530,1,B,6991,229.87
1788884323.228,1788884323.531,1,C,6991,229.02
1788884323.228,1788884323.531,1,A,6991,227.83
1788884323.228,1788884323.532,1,C,6991,226.68
1788884324.235,1788884324.272,1,B,1040,36.69
1788884324.235,1788884324.281,1,A,1040,45.01
1788884324.235,1788884324.371,1,C,1040,133.94
1788884324.235,1788884324.313,1,A,1040,75.24
1788884324.235,1788884324.288,1,B,1040,50.01
1788884324.235,1788884324.435,1,A,1040,196.47
1788884324.235,1788884324.449,1,C,1040,208.99
1788884324.235,1788884324.300,1,B,1040,59.66
1788884324.235,1788884324.439,1,B,1040,198.32
1788884324.235,1788884324.455,1,A,1040,213.64
1788884324.235,1788884324.382,1,A,1040,139.80
1788884324.235,1788884324.409,1,C,1040,166.12
1788884324.235,1788884324.339,1,C,1040,96.26
1788884324.235,1788884324.361,1,B,1040,117.66
1788884324.235,1788884324.420,1,A,1040,175.73
1788884324.235,1788884324.453,1,C,1040,207.64
1788884324.235,1788884324.424,1,B,1040,178.14
1788884324.235,1788884324.397,1,C,1040,150.76
1788884324.235,1788884324.444,1,C,1040,197.68
1788884324.235,1788884324.349,1,A,1040,101.15
1788884325.239,1788884325.309,1,A,6869,69.25
1788884325.239,1788884325.353,1,C,6869,112.31
1788884325.239,1788884325.459,1,A,6869,216.78
1788884325.239,1788884325.563,1,B,6869,320.00
1788884325.239,1788884325.375,1,A,6869,132.01
1788884325.239,1788884325.478,1,A,6869,233.63
1788884325.239,1788884325.573,1,A,6869,328.61
1788884325.239,1788884325.407,1,A,6869,162.11
1788884325.239,1788884325.579,1,C,6869,332.81
1788884325.239,1788884325.584,1,C,6869,337.54
1788884325.239,1788884325.562,1,B,6869,315.11
1788884325.239,1788884325.478,1,C,6869,230.80
1788884325.239,1788884325.505,1,A,6869,256.53
1788884325.239,1788884325.536,1,B,6869,286.72
1788884325.239,1788884325.552,1,B,6869,302.18
1788884325.239,1788884325.434,1,A,6869,184.32
1788884325.239,1788884325.576,1,C,6869,325.26
1788884325.239,1788884325.589,1,C,6869,337.34
1788884325.239,1788884325.524,1,A,6869,271.99
1788884325.239,1788884325.517,1,B,6869,264.77
1788884326.244,1788884326.309,1,A,6291,64.62
1788884326.244,1788884326.322,1,B,6291,75.71
