timestamp_envio,timestamp_respuesta,exito,replica,tarjeta,latency_ms
1788883334.235,1788883334.371,1,A,2643,135.65
1788883334.235,1788883334.427,1,C,2643,161.16
1788883334.235,1788883334.428,1,A,2643,160.64
1788883334.235,1788883334.428,1,C,2643,160.35
1788883334.235,1788883334.428,1,C,2643,160.05
1788883334.235,1788883334.429,1,C,2643,159.69
1788883334.235,1788883334.429,1,C,2643,159.41
1788883334.235,1788883334.429,1,A,2643,159.12
1788883334.235,1788883334.430,1,C,2643,158.87
1788883334.235,1788883334.430,1,C,2643,158.61
1788883334.235,1788883334.430,1,C,2643,158.40
1788883334.235,1788883334.431,1,C,2643,158.63
1788883334.235,1788883334.423,1,A,2643,150.00
1788883334.235,1788883334.424,1,A,2643,149.94
1788883334.235,1788883334.423,1,C,2643,148.63
1788883334.235,1788883334.423,1,C,2643,148.55
1788883334.235,1788883334.424,1,A,2643,148.45
1788883334.235,1788883334.433,1,A,2643,156.85
1788883334.235,1788883334.433,1,C,2643,156.57
1788883334.235,1788883334.434,1,C,2643,156.30
1788883335.237,1788883335.274,1,C,6719,36.40
1788883335.237,1788883335.279,1,A,6719,40.39
1788883335.237,1788883335.361,1,A,6719,121.87
1788883335.237,1788883335.306,1,A,6719,66.00
1788883335.237,1788883335.285,1,C,6719,44.54
1788883335.237,1788883335.426,1,A,6719,185.14
1788883335.237,1788883335.342,1,A,6719,99.91
1788883335.237,1788883335.293,1,A,6719,50.23
1788883335.237,1788883335.419,1,A,6719,175.46
1788883335.237,1788883335.424,1,C,6719,180.05
1788883335.237,1788883335.427,1,C,6719,182.91
1788883335.237,1788883335.411,1,A,6719,165.31
1788883335.237,1788883335.323,1,C,6719,77.33
1788883335.237,1788883335.396,1,A,6719,149.64
1788883335.237,1788883335.421,1,C,6719,173.76
1788883335.237,1788883335.407,1,C,6719,159.09
1788883335.237,1788883335.384,1,A,6719,135.10
1788883335.237,1788883335.355,1,A,6719,105.43
1788883335.237,1788883335.402,1,C,6719,151.89
1788883335.237,1788883335.370,1,C,6719,120.10
1788883336.243,1788883336.285,1,A,4712,41.74
1788883336.243,1788883336.293,1,C,4712,48.59
1788883336.243,1788883336.433,1,A,4712,187.55
1788883336.243,1788883336.326,1,A,4712,79.32
1788883336.243,1788883336.299,1,A,4712,52.20
1788883336.243,1788883336.428,1,A,4712,180.30
1788883336.243,1788883336.355,1,C,4712,106.54
1788883336.243,1788883336.313,1,C,4712,63.71
1788883336.243,1788883336.425,1,C,4712,175.36
1788883336.243,1788883336.441,1,C,4712,190.93
1788883336.243,1788883336.412,1,C,4712,160.74
1788883336.243,1788883336.440,1,A,4712,188.25
1788883336.243,1788883336.346,1,A,4712,93.40
1788883336.243,1788883336.375,1,A,4712,122.00
1788883336.243,1788883336.436,1,A,4712,182.78
1788883336.243,1788883336.386,1,A,4712,131.39
1788883336.243,1788883336.397,1,A,4712,141.77
1788883336.243,1788883336.363,1,A,4712,107.22
1788883336.243,1788883336.421,1,A,4712,164.22
1788883336.243,1788883336.403,1,A,4712,145.64
1788883337.247,1788883337.285,1,A,4323,38.44
1788883337.247,1788883337.290,1,C,4323,42.50
1788883337.247,1788883337.389,1,C,4323,140.04
1788883337.247,1788883337.315,1,A,4323,65.38
1788883337.247,1788883337.297,1,C,4323,45.96
1788883337.247,1788883337.425,1,C,4323,174.02
1788883337.247,1788883337.345,1,A,4323,93.37
1788883337.247,1788883337.307,1,C,4323,54.20
1788883337.247,1788883337.378,1,C,4323,124.64
1788883337.247,1788883337.401,1,C,4323,147.31
1788883337.247,1788883337.399,1,A,4323,144.35
1788883337.247,1788883337.420,1,C,4323,165.27
1788883337.247,1788883337.333,1,A,4323,77.05
1788883337.247,1788883337.422,1,A,4323,165.26
1788883337.247,1788883337.411,1,A,4323,154.10
1788883337.247,1788883337.428,1,C,4323,170.07
1788883337.247,1788883337.417,1,C,4323,158.68
1788883337.247,1788883337.350,1,A,4323,91.11
1788883337.247,1788883337.406,1,A,4323,146.15
1788883337.247,1788883337.367,1,C,4323,107.03
1788883338.252,1788883338.291,1,A,4655,38.57
1788883338.252,1788883338.298,1,C,4655,44.98
1788883338.252,1788883338.446,1,A,4655,191.88
1788883338.252,1788883338.334,1,C,4655,78.77
1788883338.252,1788883338.310,1,A,4655,54.65
1788883338.252,1788883338.472,1,C,4655,215.87
1788883338.252,1788883338.384,1,C,4655,126.95
1788883338.252,1788883338.323,1,A,4655,65.34
1788883338.252,1788883338.491,1,C,4655,232.24
1788883338.252,1788883338.427,1,A,4655,168.30
1788883338.252,1788883338.502,1,C,4655,242.29
1788883338.252,1788883338.480,1,A,4655,219.90
1788883338.252,1788883338.370,1,A,4655,109.00
1788883338.252,1788883338.411,1,C,4655,149.09
1788883338.252,1788883338.460,1,C,4655,197.66
1788883338.252,1788883338.500,1,C,4655,236.67
1788883338.252,1788883338.398,1,A,4655,134.10
1788883338.252,1788883338.496,1,A,4655,231.21
1788883338.252,1788883338.498,1,A,4655,232.17
1788883338.252,1788883338.486,1,A,4655,219.44
1788883339.262,1788883339.296,1,C,4207,34.19
1788883339.262,1788883339.302,1,A,4207,39.41
1788883339.262,1788883339.420,1,C,4207,156.29
1788883339.262,1788883339.337,1,C,4207,72.33
1788883339.262,1788883339.307,1,C,4207,42.01
1788883339.262,1788883339.437,1,C,4207,171.32
1788883339.262,1788883339.363,1,A,4207,96.92
1788883339.262,1788883339.317,1,C,4207,50.29
1788883339.262,1788883339.431,1,C,4207,163.88
1788883339.262,1788883339.416,1,A,4207,148.26
1788883339.262,1788883339.432,1,A,4207,162.90
1788883339.262,1788883339.426,1,C,4207,156.62
1788883339.262,1788883339.350,1,C,4207,79.84
1788883339.262,1788883339.399,1,C,4207,128.13
1788883339.262,1788883339.408,1,A,4207,136.97
1788883339.262,1788883339.408,1,A,4207,135.79
1788883339.262,1788883339.425,1,A,4207,152.82
1788883339.262,1788883339.439,1,A,4207,165.82
1788883339.262,1788883339.377,1,A,4207,103.61
1788883339.262,1788883339.391,1,A,4207,116.99
1788883340.270,1788883340.303,1,C,2493,33.50
1788883340.270,1788883340.308,1,A,2493,37.09
1788883340.270,1788883340.410,1,C,2493,138.22
1788883340.270,1788883340.334,1,C,2493,61.05
1788883340.270,1788883340.317,1,A,2493,43.54
1788883340.270,1788883340.419,1,C,2493,144.86
1788883340.270,1788883340.362,1,A,2493,87.02
1788883340.270,1788883340.323,1,C,2493,47.94
1788883340.270,1788883340.415,1,C,2493,138.30
1788883340.270,1788883340.428,1,A,2493,150.73
1788883340.270,1788883340.428,1,A,2493,150.82
1788883340.270,1788883340.432,1,A,2493,154.06
1788883340.270,1788883340.350,1,A,2493,71.75
1788883340.270,1788883340.398,1,C,2493,118.23
1788883340.270,1788883340.432,1,A,2493,151.61
1788883340.270,1788883340.433,1,A,2493,152.52
1788883340.270,1788883340.378,1,C,2493,96.63
1788883340.270,1788883340.413,1,A,2493,131.37
1788883340.270,1788883340.411,1,A,2493,128.49
1788883340.270,1788883340.395,1,A,2493,111.58
1788883341.279,1788883341.314,1,C,2643,34.15
1788883341.279,1788883341.318,1,A,2643,37.99
1788883341.279,1788883341.444,1,C,2643,162.89
1788883341.279,1788883341.363,1,A,2643,80.70
1788883341.279,1788883341.328,1,A,2643,44.91
1788883341.279,1788883341.439,1,A,2643,155.47
1788883341.279,1788883341.420,1,C,2643,135.58
1788883341.279,1788883341.337,1,A,2643,52.58
1788883341.279,1788883341.444,1,A,2643,158.36
1788883341.279,1788883341.427,1,C,2643,140.99
1788883341.279,1788883341.443,1,C,2643,156.25
1788883341.279,1788883341.444,1,C,2643,157.38
1788883341.279,1788883341.380,1,A,2643,92.35
1788883341.279,1788883341.439,1,A,2643,150.69
1788883341.279,1788883341.443,1,A,2643,154.42
1788883341.279,1788883341.445,1,C,2643,155.40
1788883341.279,1788883341.443,1,C,2643,153.33
1788883341.279,1788883341.420,1,C,2643,129.65
1788883341.279,1788883341.437,1,C,2643,145.95
1788883341.279,1788883341.433,1,A,2643,141.27
