timestamp_envio,timestamp_respuesta,exito,replica
1788283500.423571,1788283500.480353,1,B
1788283500.480370,1788283500.495939,1,A
1788283500.523668,1788283500.542641,1,B
1788283500.574026,1788283500.604662,1,B
1788283500.623616,1788283500.651045,1,B
1788283500.674081,1788283500.677910,1,A
1788283500.723974,1788283500.759096,1,C
1788283500.774053,1788283500.791062,1,B
1788283500.824091,1788283500.852087,1,B
1788283500.873732,1788283500.915051,1,B
1788283500.923625,1788283500.926857,1,A
1788283500.974092,1788283500.977489,1,A
1788283501.023818,1788283501.040107,1,A
1788283501.074019,1788283501.117280,1,B
1788283501.124113,1788283501.163213,1,A
1788283501.173961,1788283501.194111,1,B
1788283501.223992,1788283501.240425,1,A
1788283501.273944,1788283501.303322,1,B
1788283501.323907,1788283501.352388,1,A
1788283501.373952,1788283501.412289,1,B
1788283501.423781,1788283501.457923,1,B
1788283501.473742,1788283501.489842,1,B
1788283501.523622,1788283501.551625,1,A
1788283501.573808,1788283501.578158,1,A
1788283501.623814,1788283501.646425,1,A
1788283501.673906,1788283501.706033,1,C
1788283501.723697,1788283501.727668,1,A
1788283501.774122,1788283501.800219,1,B
1788283501.824079,1788283501.847848,1,A
1788283501.874128,1788283501.894841,1,A
1788283501.923813,1788283501.939875,1,A
1788283501.974098,1788283502.002246,1,A
1788283502.023736,1788283502.063900,1,B
1788283502.073633,1788283502.077839,1,A
1788283502.124118,1788283502.128030,1,A
1788283502.174028,1788283502.202392,1,A
1788283502.224131,1788283502.249360,1,A
1788283502.273994,1788283502.278175,1,A
1788283502.323967,1788283502.327832,1,A
1788283502.373925,1788283502.404331,1,B
1788283502.423858,1788283502.438240,1,B
1788283502.473686,1788283502.513551,1,A
1788283502.523681,1788283502.528144,1,A
1788283502.573795,1788283502.577919,1,A
1788283502.624089,1788283502.653533,1,A
1788283502.674044,1788283502.678440,1,A
1788283502.723893,1788283502.762837,1,A
1788283502.774127,1788283502.808702,1,A
1788283502.823692,1788283502.827595,1,B
1788283502.873756,1788283502.888559,1,B
1788283502.923693,1788283502.950402,1,A
1788283502.973952,1788283502.994421,1,A
1788283503.023828,1788283503.042332,1,C
1788283503.074041,1788283503.078483,1,B
1788283503.123930,1788283503.151270,1,C
1788283503.173809,1788283503.177981,1,B
1788283503.224093,1788283503.242916,1,B
1788283503.274030,1788283503.278548,1,A
1788283503.323863,1788283503.327967,1,A
1788283503.373829,1788283503.377892,1,A
1788283503.424036,1788283503.458050,1,B
1788283503.473651,1788283503.477335,1,B
1788283503.523801,1788283503.528044,1,A
1788283503.573956,1788283503.599601,1,A
1788283503.623952,1788283503.646111,1,A
1788283503.673661,1788283503.677214,1,A
1788283503.723833,1788283503.738211,1,B
1788283503.774096,1788283503.815395,1,B
1788283503.823875,1788283503.847771,1,A
1788283503.873854,1788283503.908584,1,A
1788283503.924024,1788283503.939021,1,B
1788283503.973755,1788283503.977059,1,A
1788283504.023936,1788283504.048471,1,A
1788283504.073934,1788283504.077411,1,A
1788283504.123799,1788283504.155255,1,B
1788283504.173854,1788283504.177174,1,A
1788283504.223832,1788283504.263602,1,C
1788283504.274012,1788283504.294235,1,C
1788283504.323641,1788283504.340732,1,B
1788283504.373789,1788283504.388933,1,A
1788283504.423896,1788283504.464511,1,A
1788283504.474052,1788283504.477234,1,A
1788283504.524080,1788283504.543329,1,A
1788283504.573945,1788283504.577045,1,A
1788283504.623691,1788283504.626697,1,B
1788283504.673786,1788283504.712075,1,C
1788283504.724134,1788283504.742459,1,A
1788283504.773684,1788283504.804414,1,B
1788283504.824079,1788283504.850715,1,A
1788283504.874043,1788283504.912314,1,A
1788283504.924052,1788283504.927143,1,A
1788283504.973901,1788283504.991429,1,A
1788283505.023657,1788283505.026835,1,A
1788283505.073967,1788283505.076982,1,A
1788283505.123940,1788283505.161149,1,A
1788283505.173759,1788283505.176924,1,A
1788283505.223644,1788283505.240118,1,A
1788283505.273950,1788283505.277361,1,A
1788283505.323811,1788283505.326973,1,A
1788283505.373778,1788283505.408432,1,B
1788283505.423830,1788283505.454307,1,A
1788283505.474010,1788283505.477355,1,A
1788283505.524122,1788283505.562644,1,B
1788283505.573825,1788283505.593414,1,B
1788283505.623709,1788283505.640597,1,B
1788283505.673758,1788283505.703188,1,A
1788283505.724043,1788283505.749916,1,A
1788283505.773733,1788283505.797569,1,B
1788283505.823943,1788283505.827137,1,A
1788283505.873715,1788283505.903257,1,A
1788283505.923813,1788283505.951654,1,A
1788283505.973799,1788283505.977286,1,A
1788283506.023844,1788283506.043871,1,A
1788283506.073732,1788283506.090955,1,A
1788283506.124011,1788283506.152283,1,C
1788283506.173821,1788283506.177065,1,B
1788283506.223855,1788283506.245344,1,A
1788283506.274125,1788283506.306550,1,B
1788283506.323782,1788283506.352707,1,A
1788283506.373737,1788283506.400371,1,A
1788283506.424006,1788283506.445330,1,A
1788283506.474002,1788283506.477487,1,A
1788283506.523922,1788283506.538587,1,A
1788283506.573899,1788283506.577012,1,A
1788283506.624012,1788283506.627146,1,A
1788283506.673657,1788283506.690971,1,B
1788283506.723778,1788283506.738921,1,A
1788283506.774057,1788283506.777434,1,A
1788283506.823965,1788283506.827357,1,A
1788283506.874025,1788283506.878160,1,A
1788283506.923986,1788283506.953254,1,B
1788283506.973657,1788283507.014749,1,B
1788283507.024091,1788283507.028319,1,A
1788283507.074080,1788283507.094282,1,B
1788283507.123922,1788283507.140309,1,B
1788283507.174075,1788283507.178588,1,A
1788283507.223655,1788283507.249030,1,B
1788283507.273904,1788283507.309358,1,B
1788283507.323993,1788283507.328493,1,A
1788283507.374109,1788283507.402693,1,A
1788283507.424005,1788283507.452782,1,B
1788283507.473870,1788283507.479030,1,A
1788283507.523801,1788283507.546037,1,A
1788283507.574097,1788283507.578761,1,A
1788283507.623944,1788283507.628095,1,A
1788283507.674034,1788283507.678059,1,A
1788283507.724044,1788283507.759701,1,B
1788283507.773757,1788283507.791881,1,B
1788283507.823772,1788283507.828785,1,A
1788283507.873947,1788283507.899705,1,C
1788283507.923694,1788283507.928048,1,A
1788283507.973652,1788283507.977776,1,A
1788283508.023621,1788283508.053655,1,B
1788283508.073757,1788283508.077965,1,B
1788283508.124033,1788283508.161315,1,B
1788283508.173824,1788283508.194747,1,A
1788283508.223633,1788283508.238762,1,A
1788283508.274045,1788283508.278538,1,A
1788283508.324023,1788283508.328331,1,A
1788283508.373807,1788283508.393430,1,A
1788283508.423937,1788283508.441260,1,B
1788283508.474033,1788283508.487930,1,B
1788283508.523682,1788283508.527626,1,A
1788283508.573894,1788283508.596685,1,B
1788283508.624131,1788283508.645316,1,A
1788283508.673959,1788283508.690205,1,A
1788283508.723733,1788283508.728120,1,A
1788283508.774093,1788283508.778038,1,B
1788283508.823820,1788283508.828487,1,A
1788283508.873789,1788283508.878078,1,A
1788283508.923827,1788283508.940842,1,B
1788283508.974074,1788283509.017159,1,C
1788283509.023755,1788283509.050082,1,B
1788283509.073884,1788283509.111462,1,A
1788283509.123813,1788283509.128139,1,A
1788283509.173862,1788283509.190540,1,A
1788283509.224040,1788283509.252333,1,A
1788283509.273756,1788283509.296549,1,A
1788283509.323988,1788283509.345229,1,B
1788283509.373899,1788283509.389625,1,A
1788283509.423661,1788283509.427862,1,A
1788283509.473904,1788283509.478134,1,A
1788283509.523956,1788283509.561284,1,B
1788283509.573755,1788283509.577778,1,A
1788283509.624071,1788283509.640162,1,B
1788283509.673914,1788283509.702464,1,A
1788283509.723664,1788283509.749079,1,B
1788283509.773876,1788283509.777831,1,A
1788283509.824135,1788283509.828411,1,A
1788283509.873864,1788283509.889045,1,B
1788283509.923804,1788283509.965668,1,B
1788283509.973703,1788283510.012253,1,A
1788283510.023952,1788283510.058586,1,B
1788283510.074066,1788283510.078774,1,A
1788283510.123779,1788283510.139500,1,A
1788283510.174000,1788283510.178653,1,A
1788283510.223742,1788283510.228310,1,A
1788283510.274019,1788283510.295488,1,A
1788283510.323790,1788283510.327798,1,C
1788283510.373875,1788283510.377963,1,A
1788283510.423737,1788283510.450624,1,A
1788283510.474020,1788283510.497925,1,B
1788283510.524074,1788283510.542281,1,A
1788283510.573981,1788283510.578474,1,A
1788283510.623963,1788283510.628309,1,A
1788283510.674135,1788283510.698989,1,B
1788283510.724038,1788283510.758535,1,B
1788283510.773900,1788283510.791971,1,B
1788283510.823904,1788283510.827276,1,A
1788283510.873673,1788283510.913012,1,B
1788283510.923634,1788283510.946031,1,B
1788283510.974037,1788283510.992550,1,A
1788283511.023749,1788283511.038819,1,A
1788283511.073934,1788283511.098215,1,A
1788283511.123713,1788283511.146841,1,B
